,Pesos,Condutância
233,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.42
234,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
235,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.34
236,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.30
237,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.27
238,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.24
239,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.21
240,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.19
241,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.17
242,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.15
243,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.13
244,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.11
245,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.10
246,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.09
247,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.08
248,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.07
249,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.06
250,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.05
251,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.04
252,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.04
253,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.03
254,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.03
255,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.03
256,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.02
257,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.02
258,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.64
259,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.82
260,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
261,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
262,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.64
263,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.82
264,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
265,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.98
266,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
267,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.64
268,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.82
269,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
270,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.98
271,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 1.00
272,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.99
273,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.96
274,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
275,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.87
276,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.81
277,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.75
